build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
379849991,ead14a8ca15073b80a9fc3a661a6c815226cfee8,,master,passed,1006,2018-05-16 18:20:51 UTC,379849992,379849993,379849994,379849995,379849996,379849997,push
379837114,5f0b5043b0abd782f155494b4d294a82d7b9307a,,master,passed,1987,2018-05-16 18:08:07 UTC,379837115,379837116,379837117,379837118,379837119,379837120,push
379813768,738ce6c77fb0865aab52bbce4306804d6f198cfc,163,master,passed,1637,2018-05-16 17:01:21 UTC,379813769,379813770,379813771,379813772,379813773,379813774,pull_request
379813544,651f76555c837a1ef9436465659fd1a6a5ce6669,,travis,passed,3312,2018-05-16 16:56:37 UTC,379813545,379813546,379813547,379813548,379813549,379813550,push
260321552,8d201b8376695773efacf92b9aae4d2775430e8e,145,master,failed,38,2017-08-02 18:42:06 UTC,260321553,pull_request
260321544,d0715d52e92153ba240b21111250abbc14192239,,fix-pre-commit-0.16.0,failed,44,2017-08-02 18:42:03 UTC,260321545,push
80753089,dbf416b6f5195c24875529fce0c9256dcb1c69ac,,master,failed,7,2015-09-17 01:19:24 UTC,80753090,push
80748093,720d03fec3d32c3c2b06c1f51626a250bc7d88ef,20,master,failed,6,2015-09-17 00:24:01 UTC,80748094,pull_request
80747985,3b3f5ab1035fa04a2a20f16dbbcc1983dd39784c,20,master,failed,10,2015-09-17 00:23:04 UTC,80747986,pull_request
80747679,d0e3ddc00d91fa08bca98267825f4fc0441e39a1,20,master,failed,7,2015-09-17 00:19:48 UTC,80747680,pull_request
80746476,073fae984f91ec43a2094346c5b67cf651e22c4b,20,master,failed,17,2015-09-17 00:10:41 UTC,80746477,pull_request
80740896,936901d23cd7e3287b3dcb0e13eec5075ff1665a,21,master,errored,4000,2015-09-16 23:48:21 UTC,80740897,80740898,80740899,80740900,80740901,80740902,pull_request
80725100,56253bef78a825def3a6ad1b3207290d7a62c819,20,master,failed,9,2015-09-16 21:32:09 UTC,80725101,pull_request
80724513,1b5e0b0054bbda825cea4c30828d2b90588c4712,20,master,failed,5,2015-09-16 21:28:16 UTC,80724514,pull_request
80716908,881695f66ecc254485e6b55d01314258c5ecc19b,20,master,errored,4004,2015-09-16 20:54:56 UTC,80716909,80716910,80716912,80716913,80716914,80716916,pull_request
80715985,abce9b7031bc50f488f530736e7e34c4b3ab4e0f,20,master,errored,4003,2015-09-16 20:42:34 UTC,80715986,80715988,80715989,80715990,80715991,80715993,pull_request
80712997,33ecbb5c80c092f710f52b5ea69db2c1a0cfc321,20,master,errored,3974,2015-09-16 20:27:33 UTC,80712998,80712999,80713000,80713001,80713002,80713003,pull_request
80711122,c424f0c975c6adfda2dcddbc45efba44f31348c9,20,master,errored,3998,2015-09-16 20:15:20 UTC,80711123,80711124,80711125,80711126,80711127,80711128,pull_request
79946949,257edd13d388f6a42dcdd50dc4efbd64c6bd4578,20,master,errored,4058,2015-09-15 05:47:33 UTC,79946950,79946951,79946952,79946953,79946954,79946955,pull_request
79944571,b6a2a5f5715db04913a7c1eabd2ec93a3dadc1cb,19,master,failed,413,2015-09-12 00:05:25 UTC,79944572,79944573,79944574,79944575,79944576,79944577,pull_request
79944504,734e2bbd06e30ce2683b12c19994194d1df52523,19,master,failed,428,2015-09-12 00:03:03 UTC,79944505,79944506,79944507,79944508,79944509,79944510,pull_request
79944438,755a3ee8c71a223dd9c317347287ad9660b8d19d,20,master,errored,4048,2015-09-11 23:51:05 UTC,79944439,79944440,79944441,79944442,79944443,79944444,pull_request
79941408,cfee7faae15e35a8ef263181174434bfcbc1c16f,20,master,failed,382,2015-09-11 23:19:24 UTC,79941410,79941411,79941412,79941413,79941414,79941415,pull_request
79940949,29f1e13c33bdc7732552a9cc4d295c72ba73a6f3,20,master,failed,574,2015-09-11 23:14:35 UTC,79940950,79940951,79940952,79940953,79940954,79940955,pull_request
79894347,3c85b451bcb254f7606dbf4c7f3ca91b6542c3b2,17,master,errored,4093,2015-09-11 17:55:51 UTC,79894348,79894349,79894350,79894352,79894353,79894354,79894355,pull_request
79894228,7b2c1ac7e62f58f779070d101064bbd6dc1cc938,17,master,canceled,0,,79894229,79894230,79894231,79894232,79894233,79894234,79894235,pull_request
79893227,f0a0aee193c0af5e612e585e9559b83b5a6da408,17,master,canceled,91,2015-09-11 17:54:16 UTC,79893228,79893230,79893233,79893236,79893237,79893238,79893239,pull_request
79891420,ba923d89d735d55f38428cdd82aa1fea7e1084ca,17,master,canceled,3429,2015-09-11 17:42:18 UTC,79891421,79891422,79891423,79891424,79891425,79891426,79891427,pull_request
79891105,88af52b5041032422b48c18ae2181707c5bcc611,,master,canceled,2344,2015-09-11 17:33:19 UTC,79891106,79891107,79891108,79891110,79891111,79891112,push
79885207,c4f356578fd63fe84f43cd1a26aae5497bca35ca,17,master,errored,4046,2015-09-11 17:09:37 UTC,79885208,79885209,79885210,79885211,79885212,79885213,79885214,pull_request
79884526,2991ba107443a1725e1ab6696173b2e97a2d60db,17,master,errored,4091,2015-09-11 16:57:34 UTC,79884527,79884529,79884531,79884534,79884536,79884538,79884540,pull_request
79883374,70f8ad503fb0467f62eb0ebec4b4d0abcb632453,19,master,errored,3973,2015-09-11 16:45:39 UTC,79883375,79883376,79883378,79883379,79883381,79883382,pull_request
79773029,7382e77f64139b42572c0d2ebe80b5f0b4dcf5ba,17,master,errored,5836,2015-09-11 01:33:43 UTC,79773030,79773031,79773033,79773035,79773036,79773037,79773038,79773039,79773040,pull_request
79770928,9a21c30ad61a3231fa2a525de096907943c80816,,master,errored,4009,2015-09-11 15:23:24 UTC,79770929,79770930,79770931,79770932,79770933,79770934,push
79770835,3bc8e71e094d8f8b92a2c31f9b8e200728d0acd9,17,master,errored,73,2015-09-11 01:20:45 UTC,79770836,79770837,79770839,79770840,79770841,79770843,79770844,79770846,79770847,pull_request
79770806,ada50f41cb0ac41003170ac6d378ceb808b2e362,18,master,errored,34,2015-09-11 01:13:26 UTC,79770807,79770808,79770809,79770812,79770813,79770815,pull_request
79770777,7a648c54d165822a790c6a59330e0121e098641c,,hotfix_python3,canceled,982,2015-09-11 01:09:09 UTC,79770778,79770779,79770780,79770781,79770782,79770783,push
79770741,388885be4ba8988ba36685beeba7d23803c16056,,hotfix_python3,errored,14,2015-09-11 01:07:17 UTC,79770742,79770743,79770744,79770745,79770747,79770748,push
79770573,72f52d70e646d13cebdb3df6076afabeb979807a,17,master,failed,884,2015-09-11 01:03:34 UTC,79770574,79770575,79770576,79770577,79770578,79770579,79770580,79770581,79770582,pull_request
79769996,ea0781f221530aaaccf3482a0627453e40b6500b,16,master,failed,955,2015-09-11 00:55:26 UTC,79769997,79769998,79769999,79770000,79770001,79770002,pull_request
