build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
202459065,c5884f2f5d167418d7dc3c71277aee270ab1cf6c,,master,passed,163,2017-02-17 00:32:22 UTC,202459066,202459068,202459070,202459072,push
202458715,5a981578093a88f2870c5c4e18efd80038fb3b18,568,master,passed,185,2017-02-17 00:30:26 UTC,202458716,202458717,202458718,202458719,pull_request
202458701,7b9cff7a8fa61ac0613a96f6876787991ae07940,,remove-rest-api,passed,160,2017-02-17 00:30:21 UTC,202458702,202458703,202458704,202458707,push
202458160,93cda8474972bfe9fa913de1b4dd09eac9512c72,,master,passed,156,2017-02-17 00:28:00 UTC,202458164,202458167,202458168,202458169,push
202458084,63a967637e5487218bfe63c8907b73a58499bd08,568,master,passed,184,2017-02-17 00:27:25 UTC,202458085,202458086,202458087,202458088,pull_request
202458070,8b2ecaad2dcc46127eb1e98874acc486acbf044a,,remove-rest-api,passed,152,2017-02-17 00:27:25 UTC,202458071,202458076,202458080,202458083,push
202457472,7aaac3c4075845fc8b5cfaa334e40b5864fbffa7,567,master,passed,160,2017-02-17 00:25:25 UTC,202457473,202457478,202457482,202457485,pull_request
202457375,5d938d72b417a04dddb548744880397032b8d251,,master,passed,154,2017-02-17 00:24:51 UTC,202457376,202457377,202457378,202457379,push
202456878,b7ae61d9f0c56e4490f0b30382e7d93b4267af9b,566,master,passed,154,2017-02-17 00:22:36 UTC,202456879,202456880,202456881,202456882,pull_request
202456870,18ea20e93e189dbf8bfc8eb2a949bc6779be76b3,,http-request,passed,159,2017-02-17 00:22:34 UTC,202456871,202456872,202456873,202456874,push
202455654,bce4a06d971d7b0dbdca2ea75c3da6d9ef3f980a,568,master,errored,217,2017-02-17 00:16:51 UTC,202455655,202455658,202455660,202455661,pull_request
202455169,c5728c28ea8712c20d259442c868a4ed2d6a9a43,,remove-rest-api,errored,185,2017-02-17 00:14:41 UTC,202455170,202455171,202455172,202455173,push
