build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
440578019,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3181,2018-10-12 10:55:18 UTC,440578020,440578021,440578022,440578023,440578024,440578025,440578026,cron
439580301,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3164,2018-10-10 10:54:43 UTC,439580302,439580303,439580304,439580305,439580306,439580307,439580308,cron
438564485,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3074,2018-10-08 10:53:14 UTC,438564486,438564487,438564488,438564489,438564490,438564491,438564492,cron
437969134,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3023,2018-10-06 10:52:03 UTC,437969135,437969136,437969137,437969138,437969139,437969140,437969141,cron
437469527,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3061,2018-10-05 06:30:13 UTC,437469528,437469529,437469530,437469531,437469532,437469533,437469534,push
437455366,543fc5c0aa74d95f0cb58b4ae72b0aa43831ee4c,,master,passed,2961,2018-10-05 05:21:57 UTC,437455367,437455368,437455369,437455370,437455371,437455372,437455375,push
437305590,e9078c2d13212e715a3811956bc87933c9660edc,105,master,passed,3217,2018-10-05 04:44:40 UTC,437305591,437305592,437305593,437305594,437305595,437305596,437305597,pull_request
437298097,2a14b918f17241962486416a328c4ee65556af8b,,master,passed,3110,2018-10-04 19:32:37 UTC,437298098,437298099,437298100,437298101,437298102,437298103,437298104,push
437296943,cdec249de5fc6297979d83e640cbdf70ae367911,104,master,errored,2104,2018-10-04 19:26:31 UTC,437296944,437296945,437296946,437296947,437296948,437296949,437296950,pull_request
437289003,07c9f256a0297b97d7c3920c394637b466bc0ef3,104,master,passed,3114,2018-10-04 19:09:25 UTC,437289004,437289005,437289006,437289007,437289008,437289009,437289010,pull_request
436570710,8ed2af7e0aa130d3ab46223233be8a86f1b8ae2e,,master,passed,3277,2018-10-03 10:51:21 UTC,436570711,436570713,436570715,436570718,436570719,436570720,436570722,cron
435542055,8ed2af7e0aa130d3ab46223233be8a86f1b8ae2e,,master,passed,3081,2018-10-01 10:50:34 UTC,435542056,435542057,435542058,435542059,435542060,435542061,435542062,cron
435202695,8ed2af7e0aa130d3ab46223233be8a86f1b8ae2e,,master,passed,2858,2018-09-30 09:22:15 UTC,435202696,435202697,435202698,435202699,435202700,435202701,435202702,push
435198974,2f93a39c15e4833c6812c21b68ac07df29955027,103,master,passed,2906,2018-09-30 08:57:46 UTC,435198975,435198976,435198977,435198978,435198979,435198980,435198981,pull_request
435193895,539e1ad365c374ebd2175c94bab6646e7af4609c,103,master,failed,2597,2018-09-30 08:26:26 UTC,435193896,435193897,435193898,435193899,435193900,435193901,435193902,pull_request
435190628,43a846f684179800aefc563f3db70a8e803d6400,103,master,failed,2623,2018-09-30 08:09:06 UTC,435190629,435190630,435190631,435190632,435190633,435190634,435190635,pull_request
435052670,84cd369a026abf3c0087f020bf832e3e2f115c58,,master,passed,2954,2018-09-29 18:19:43 UTC,435052671,435052672,435052673,435052674,435052675,435052676,435052677,push
435039963,b4478cbb217af1d3fd2d5c118ab1389aa06c4697,102,master,passed,3057,2018-09-29 17:27:13 UTC,435039964,435039965,435039966,435039967,435039968,435039969,435039970,pull_request
435011572,eb2afa8c0499a4074693a4d332ad765a10b76b9d,,master,passed,2967,2018-09-29 15:27:52 UTC,435011573,435011574,435011575,435011576,435011577,435011578,435011579,push
